Table Product Code,Page,Product Code,Nominal Conductor Area (mm2),Nominal Conductor Diameter (mm),Nominal Insulation Thickness (mm),Approx. Cable Diameter (mm),Approx. Mass (kg/100m),Max. Pulling Tension on Conductor (kN),Max. Pulling Tension on Stocking Grip (kN),Min. Bending Radius*: During Installation (mm),Min. Bending Radius*: Set in Position (mm),"Max. Conductor Resistance, dc at 200C (Ω/km)","Conductor Resistance, ac at 900C & 50Hz (Ω/km)","Inductance, Trefoil Touching (mH/km)","Inductive Reactance, Trefoil Touching at 50Hz (Ω/km)",Zero Seq. Impedance at 200C & 50Hz (Ω/km),"Capacitance, Phase to Earth (μF/km)",Min. Insulation Resistance at 200C (MΩ.km),Electric Stress at Conductor Screen (kV/mm),Charging Current at Rated Voltage & 50Hz (A/phase/km),Short Circuit Rating,Continuous Current Rating,Inductance (mH/km),"Inductive Reactance, at 50Hz (Ω/km)",Max. Pulling Tension on Conductors (kN),Max. Pulling Tension on Armour Wires (kN),"Inductive, Trefoil Touching (mH/km)","Inductive Reactance, (Ω/km)"
1CALX3HD,14,,50,8.1,2.0,21.9,70,2.5,1.7,390,260,0.641,0.822,0.422,0.133,1.24+ j0.0649,0.388,"6,600",1.14,0.232,4.7,160,,,,,,
1CALX3HD,14,,70,9.8,2.0,23.6,95,3.5,2.0,430,280,0.443,0.568,0.389,0.122,0.871+ j0.0563,0.448,"5,700",1.11,0.267,6.6,195,,,,,,
1CALX3HD,14,,95,11.5,2.0,25.3,120,4.8,2.2,460,300,0.320,0.411,0.370,0.116,0.635+ j0.0519,0.507,"5,000",1.09,0.303,9.0,230,,,,,,
1CALX3HD,14,,120,12.9,2.0,26.7,135,6.0,2.5,480,320,0.253,0.325,0.357,0.112,0.535+ j0.0490,0.554,"4,600",1.08,0.331,11.3,260,,,,,,
1CALX3HD,14,,150,14.2,2.0,28.0,145,7.5,2.8,500,340,0.206,0.265,0.347,0.109,0.488+ j0.0466,0.601,"4,200",1.07,0.359,14.2,290,,,,,,
1CALX3HD,14,,185,16.0,2.0,30.0,160,9.3,3.1,540,360,0.164,0.211,0.334,0.105,0.446+ j0.0432,0.663,"3,800",1.06,0.395,17.5,330,,,,,,
1CALX3HD,14,,240,18.1,2.0,32.1,180,12,3.6,580,390,0.125,0.161,0.322,0.101,0.407+ j0.0405,0.737,"3,400",1.05,0.440,22.7,375,,,,,,
1CALX3HD,14,,300,20.6,2.0,34.8,200,15,4.2,630,420,0.100,0.130,0.311,0.0978,0.382+ j0.0381,0.824,"3,000",1.03,0.492,28.3,425,,,,,,
1CALX3HD,14,,400,23.5,2.0,38.5,235,20,5.2,690,460,0.0778,0.102,0.305,0.0958,0.360+ j0.0369,0.943,"2,700",1.02,0.563,37.8,480,,,,,,
1CALX3HD,14,,500,26.6,2.2,42.2,270,25,6.2,760,510,0.0605,0.0804,0.298,0.0936,0.343+ j0.0356,0.962,"2,600",0.929,0.574,47.2,545,,,,,,
1CALX3HD,14,,630,30.2,2.4,46.4,325,25,7.5,840,560,0.0469,0.0638,0.291,0.0915,0.330+ j0.0342,0.993,"2,500",0.850,0.593,59.5,610,,,,,,
3CCUX3LD,15,3CCUX3LD,25,6.1,2.0,35.9,110,3.8,3.8,650,430,1.20,1.54,,,4.84+ j0.0722,0.317,"8,300",1.19,0.189,2.4,110,0.381,0.120,,,,
3CCUX3LD,15,,35,7.1,2.0,38.4,130,5.3,5.2,690,460,0.868,1.11,,,3.60+ j0.0668,0.354,"7,300",1.16,0.212,3.3,125,0.363,0.114,,,,
3CCUX3LD,15,,50,8.1,2.0,40.7,150,7.5,5.8,730,490,0.641,0.822,,,3.37+ j0.0626,0.390,"6,600",1.14,0.233,4.7,150,0.349,0.110,,,,
3CCUX3LD,15,,70,9.8,2.0,44.6,180,11,7.0,800,540,0.443,0.568,,,3.18+ j0.0542,0.449,"5,700",1.11,0.268,6.6,185,0.321,0.101,,,,
3CCUX3LD,15,,95,11.5,2.0,48.6,215,14,8.3,880,580,0.320,0.411,,,3.05+ j0.0499,0.509,"5,000",1.09,0.304,9.0,225,0.307,0.0964,,,,
3CCUX3LD,15,,120,12.9,2.0,51.8,250,18,9.4,930,620,0.253,0.325,,,2.78+ j0.0472,0.556,"4,600",1.08,0.332,11.3,255,0.298,0.0935,,,,
3CCUX3LD,15,,150,14.2,2.0,54.9,290,23,11,990,660,0.206,0.265,,,2.55+ j0.0449,0.604,"4,200",1.07,0.360,14.2,285,0.290,0.0910,,,,
3CCUX3LD,15,,185,16.0,2.0,58.8,335,25,12,1060,710,0.164,0.211,,,2.35+ j0.0416,0.665,"3,800",1.06,0.397,17.5,320,0.279,0.0875,,,,
3CCUX3LD,15,,240,18.1,2.0,63.9,410,25,14,1150,770,0.125,0.162,,,2.18+ j0.0391,0.740,"3,400",1.05,0.442,22.7,375,0.270,0.0849,,,,
3CCUX3LD,15,,300,20.6,2.0,69.5,490,25,17,1250,830,0.100,0.130,,,1.92+ j0.0368,0.827,"3,000",1.03,0.494,28.3,420,0.262,0.0824,,,,
3CALX3LDA,16,3CALX3LDA,25,6.1,2.0,43.0,270,,3.8,770,520,1.20,1.54,,,4.84+ j0.0721,0.317,"8,300",1.19,0.189,2.4,110,0.381,0.120,3.8,7.4,,
3CALX3LDA,16,,35,7.1,2.0,45.4,300,,5.3,820,550,0.868,1.11,,,3.60+ j0.0668,0.354,"7,300",1.16,0.212,3.3,125,0.363,0.114,5.3,8.3,,
3CALX3LDA,16,,50,8.1,2.0,49.6,375,,7.5,890,590,0.641,0.822,,,3.37+ j0.0626,0.390,"6,600",1.14,0.233,4.7,150,0.349,0.110,7.5,9.8,,
3CALX3LDA,16,,70,9.8,2.0,53.4,425,,10,960,640,0.443,0.568,,,3.18+ j0.0542,0.449,"5,700",1.11,0.268,6.6,185,0.321,0.101,11,11,,
3CALX3LDA,16,,95,11.5,2.0,57.5,485,,12,1040,690,0.320,0.411,,,3.05+ j0.0499,0.509,"5,000",1.09,0.304,9.0,225,0.307,0.0964,14,13,,
3CALX3LDA,16,,120,12.9,2.0,60.9,540,,13,1100,730,0.253,0.325,,,2.78+ j0.0472,0.556,"4,600",1.08,0.332,11.3,255,0.298,0.0935,18,15,,
3CALX3LDA,16,,150,14.2,2.0,64.0,595,,14,1150,770,0.206,0.265,,,2.55+ j0.0449,0.604,"4,200",1.07,0.360,14.2,285,0.290,0.0910,23,17,,
3CALX3LDA,16,,185,16.0,2.0,68.2,665,,16,1230,820,0.164,0.211,,,2.35+ j0.0416,0.665,"3,800",1.06,0.397,17.5,320,0.279,0.0875,25,19,,
