File Name,Approximate weight (kg/100m),Armour type,Cable flexibility,Cable length (m),Cable exibility,Capacitance (All Main Cores ­ Screen) (µF / km),Capacitance (One Main Core ­ Other & Screen) (µF / km),Capacitance 3 phase operating (µF / km),Colour,Combined earth size section (mm²),Conductor AC resistance at 50 Hz (Ohm/km),Conductor cross-section (mm²),Conductor cross­section (mm²),Conductor flexibility,Conductor material,Conductor shape,Conductor exibility,Diameter over armour (mm),Diameter over screen (mm),Earth conductor cross section (mm²),Inductive reactance at 50 Hz (Ohm/km),Inductive reactance at 50 Hz - flat touching (Ohm/km),Inductive reactance at 50 Hz - trefoil (Ohm/km),Insulation,Insulation resistance at 20°C (MOhm.km),Material of bedding,Max. DC resistance of the conductor at 20°C (Ohm/km),Maximum Pull Tension of Armour (kN),Maximum Pull Tension of Conductor (kN),Maximum Pulling Tension (kN),Minimum Bend Radius - During Installation (under Tension) (mm),Minimum Bend Radius - Installed (mm),Minimum Bend Radius ­ During Installation (under Tension) (mm),Minimum Bend Radius ­ Installed (mm),Nominal diameter over bedding (mm),Nominal insulation thickness (mm),Nominal outer sheath thickness (mm),Nominal overall diameter (mm),Number of cores,Number of earth cores,Outer sheath,Rated Voltage Uo/U (Um) (V),Rated Voltage Uo/U (Um) (kV),Screen,Type of conductor,Type of conductor Compact,Type of conductor Compressed,With Green/Yellow core
Nexans_FNHP11AA003OMAA.pdf,42.0,,Rigid,,,,,,Orange,,3.75,6,,Class 2,Copper,Circular,,,,2.5,0.097,,,V-90,12,,3.08,,1,1.8,91,60,,,,1.0,1.8,15.1,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HNHC17AA004OMAA.pdf,136.0,,Rigid,,,,,,Orange,,0.884,25,,Class 2,Copper,Circular,,,,6,0.083,,,V-90,8.3,,0.727,,7,2.9,290,200,,,,1.2,1.8,24.5,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HTHP26AA004OMAA.pdf,1100.0,,Rigid,,,,,,Orange,,0.1,240,,Class 2,Copper,Circular,,,,95,0.071,,,X-90,310,,0.075,,,7.6,760,510,,,,1.7,2.8,63.5,5,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_FTDP13AA003CXRJ.pdf,65.1,,,,Rigid,0.618,0.342,0.412,,4.5,2.33,,10,,Copper,Circular,Class 2,,15.1,,0.083,,,,570,PVC filler,1.83,,,2.1,,,335,225,,0.7,,18.7,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_FNHP07AA003OMAA.pdf,26.0,,Rigid,,,,,,Orange,,9.01,2.5,,Class 2,Copper,Circular,,,,2.5,0.102,,,V-90,14,,7.41,,0,1.5,74,49,,,,0.8,1.8,12.3,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTDC22AA003CXRJ.pdf,382.0,,,,Rigid,1.088,0.602,0.725,,48,0.248,,95,,Copper,Circular,Class 2,,32.8,,0.072,,,,330,PVC filler,0.193,,,4.43,,,665,445,,1.1,,36.9,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_FNMP13AA003OMAA.pdf,108.0,Steel wires,Rigid,,,,,,Orange,,2.33,10,,Class 2,Copper,Circular,,18.4,,4,0.0906,,,V-90,9.9,,1.83,6,,2.7,400,270,,,15.9,1.0,,22.1,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HNHC20AA004OMAA.pdf,339.0,,Rigid,,,,,,Orange,,0.327,70,,Class 2,Copper,Circular,,,,25,0.077,,,V-90,6.3,,0.268,,20,4.3,430,290,,,,1.4,2.1,35.8,4,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_HTHP25AA004OMAA.pdf,842.0,,Rigid,,,,,,Orange,,0.129,185,,Class 2,Copper,Circular,,,,70,0.072,,,X-90,320,,0.099,,,6.7,500,330,,,,1.6,2.6,55.7,5,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTHC18AA003OMAA.pdf,128.7,,Rigid,,,,,,Orange,,0.669,35,,Class 2,Copper,Circular,,,,10,0.079,,,X-90,430,,0.524,,7,2.8,280,186,,,,0.9,1.8,23.3,3,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_DNMP05AA002CXWW.pdf,37.0,Steel wires,Rigid,,,,,,,,17.3,1.5,,Class 2,Copper,Circular,,10.5,,1.5,0.111,,,V-90,17,,13.6,2,,1.7,250,170,,,8.7,0.8,,14.1,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
